Id,Label,timeset,idlattes,collaborationrank,producaobibliografica,artigoemperiodico,livro,capitulodelivro,trabalhoemcongresso,resumoexpandido,resumo,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
92,Mauren Lucia de Araujo Bergmann,,6644705302687385,1.43755,101,44,0,8,13,0,36,2,72,10,0.182495,0.227555,0
93,Juliano Braun de Azeredo,,6704567679943812,0.15,30,16,0,0,0,0,14,0,0,0,0,0,0
94,Elton Luis Gasparotto Denardin,,6758699828667193,1.78427,72,16,0,3,3,0,50,9,41,8,0.259259,0.347242,358.515337
95,Daniela dos Santos Brum,,7161639654325086,0.626135,92,18,0,0,0,15,59,4,19,10,0.209402,0.264861,55.536279
96,Betina Loitzenbauer da Rocha Moreira,,7263325437834001,0.252293,9,4,0,2,0,0,3,1,1,9,0.180812,0.209552,0
97,Raquel Potter Garcia,,7312946418733110,1.89079,181,44,0,3,29,77,28,6,80,9,0.21875,0.289654,210.516776
98,Marta Iris Camargo Messias da Silveira,,7525976996261066,0.383515,55,0,1,7,5,9,33,4,5,9,0.198381,0.260718,199.3
99,Cristiane Casagrande Denardin,,7528612885865102,0.931902,63,15,0,0,1,7,40,4,11,8,0.239024,0.305272,137.453404
100,Jenifer Harter,,7568104608106824,0.15,37,16,0,1,0,17,3,0,0,0,0,0,0
101,Ingrid Rios Lima Machado,,7571726937337690,0.47312,68,8,0,2,5,11,42,5,9,10,0.190291,0.257536,97
102,Michel Mansur Machado,,7651341120825287,2.06128,114,52,1,2,3,7,49,11,98,7,0.326667,0.40724,1223.05802
103,Fabio de Araujo Pedron,,7670823136210400,1.10742,93,23,0,2,0,18,50,3,54,10,0.192913,0.235439,48
104,Julio Cesar Bresolin Marinho,,7724745358129837,0.547013,103,24,6,10,21,15,27,3,18,9,0.220225,0.264897,285
105,Fabio Figueiro Tavares,,7726296810653967,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Camila Simonetti Pase,,7729148983836692,0.15,98,43,0,0,0,0,55,0,0,0,0,0,0
107,Gabriel Gustavo Bergmann,,7751701952514459,1.40184,172,50,1,11,8,7,95,4,72,9,0.205882,0.26254,90.691319
108,Sandro Alex Evaldt,,7820034139865594,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Antonio Cleber da Silva Camargo,,7894853383109682,0.570126,39,16,2,4,7,3,7,2,2,10,0.192534,0.230337,97
110,Ricardo Pedroso Oaigen,,8056365542183068,1,148,30,1,6,12,67,32,1,7,1,1,1,0
111,Silvia Romeu Pitrez,,8070325697830866,0.15,2,2,0,0,0,0,0,0,0,0,0,0,0
112,Marcelo Donadel Malesuik,,8153279253583982,1.40623,52,23,0,0,0,2,27,7,26,8,0.27451,0.341169,163.089514
167,Paula Bianchi,,9177182127478055,1.22588,62,17,3,12,24,2,4,2,82,10,0.166102,0.203584,0
